premise	hypothesis	label	premise_processed	hypothesis_processed	label_id	reasoning
اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ های صلیبی بود.	نخستین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل بود و جنگ های صلیبی توانست این روند را سریع کند.	e	اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون‌های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ‌های صلیبی بود.	نخستین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون‌های جغرافیایی مصر، اندلس و سیسیل بود و جنگ‌های صلیبی توانست این روند را سریع کند.	0	چون فرضیه به طور کامل محتوای متن را بازتاب می‌دهد و تنها ترتیب جملات تغییر کرده است، بنابراین فرضیه به وضوح از متن نتیجه‌گیری می‌شود.
اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ های صلیبی بود.	کانون های جغرافیایی مصر، اندلس و شام، نخستین راهی بودند که از طریق آن‌ها فرهنگ و تمدن اسلامی به اروپا نفوذ کرد و روابط تجاری و اقتصادی، این روند را تسریع می کرد.	c	اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون‌های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ‌های صلیبی بود.	کانون‌های جغرافیایی مصر، اندلس و شام، نخستین راهی بودند که از طریق آن‌ها فرهنگ و تمدن اسلامی به اروپا نفوذ کرد و روابط تجاری و اقتصادی، این روند را تسریع می‌کرد.	1	چون فرضیه به شام اشاره کرده است در حالی که متن تنها به مصر، اندلس و سیسیل اشاره می‌کند و همچنین به روابط تجاری و اقتصادی به عنوان عامل تسریع‌کننده اشاره دارد که در متن ذکر نشده است.
اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ های صلیبی بود.	سیسیل بعد از اسپانیا بزرگ ترین کانونی بود که همه فرهنگ و تمدن اسلامی را به اروپا منتقل کرد. کتاب کلیله و دمنه برای نخستین بار در سیسیل به لاتین ترجمه شد.	n	اولین انتقال و نفوذ طبیعی فرهنگ و تمدن اسلامی به اروپا از طریق کانون‌های جغرافیایی مصر، اندلس و سیسیل انجام گرفت و آنچه توانست به روند این انتقال سرعت بخشد جنگ‌های صلیبی بود.	سیسیل بعد از اسپانیا بزرگ‌ترین کانونی بود که همه فرهنگ و تمدن اسلامی را به اروپا منتقل کرد. کتاب کلیله و دمنه برای نخستین بار در سیسیل به لاتین ترجمه شد.	2	چون فرضیه تنها به بخشی از اطلاعات موجود در متن اشاره دارد و نمی‌تواند به طور قطعی نتیجه‌گیری کند که سیسیل بزرگ‌ترین کانون انتقال فرهنگ اسلامی بوده است، بنابراین ارتباط بین متن و فرضیه خنثی است.
ویژگی های هنر عصر اموی: ۱- تلفیقی بودن ۲- بازنمایی نوعی تفنن و تفریح ۳- نقاشی های تزئینی و تندیس های بی کیفیت	نقاشی های تزئینی و تندیس های بی‌کیفیت، یکی از ویژگی های هنر عصر اموی است.	e	ویژگی‌های هنر عصر اموی: ۱ - تلفیقی بودن ۲ - بازنمایی نوعی تفنن و تفریح ۳ - نقاشی‌های تزئینی و تندیس‌های بی‌کیفیت	نقاشی‌های تزئینی و تندیس‌های بی‌کیفیت، یکی از ویژگی‌های هنر عصر اموی است.	0	زیرا فرضیه به وضوح یکی از ویژگی‌های ذکر شده در متن را بیان می‌کند و به طور مستقیم از آن نتیجه‌گیری می‌شود.
ویژگی های هنر عصر اموی: ۱- تلفیقی بودن ۲- بازنمایی نوعی تفنن و تفریح ۳- نقاشی های تزئینی و تندیس های بی کیفیت	با کیفیت بودن تندیس های دوره اموی، یکی از ویژگی های هنر این دوره است.	c	ویژگی‌های هنر عصر اموی: ۱ - تلفیقی بودن ۲ - بازنمایی نوعی تفنن و تفریح ۳ - نقاشی‌های تزئینی و تندیس‌های بی‌کیفیت	با کیفیت بودن تندیس‌های دوره اموی، یکی از ویژگی‌های هنر این دوره است.	1	چون در متن به بی‌کیفیت بودن تندیس‌های دوره اموی اشاره شده است، در حالی که فرضیه ادعا می‌کند که تندیس‌های این دوره با کیفیت هستند، بنابراین این دو جمله با هم تناقض دارند.
ویژگی های هنر عصر اموی: ۱- تلفیقی بودن ۲- بازنمایی نوعی تفنن و تفریح ۳- نقاشی های تزئینی و تندیس های بی کیفیت	دوره امویان عصری است که در آن سنت های هنری تمدن اسلامی پایه گذاری شد.	n	ویژگی‌های هنر عصر اموی: ۱ - تلفیقی بودن ۲ - بازنمایی نوعی تفنن و تفریح ۳ - نقاشی‌های تزئینی و تندیس‌های بی‌کیفیت	دوره امویان عصری است که در آن سنت‌های هنری تمدن اسلامی پایه گذاری شد.	2	چون ویژگی‌های ذکر شده در متن به نوعی تفنن و کیفیت پایین هنر اشاره دارد، در حالی که فرضیه به تأسیس سنت‌های هنری اشاره می‌کند که ممکن است با هم همخوانی نداشته باشند و بنابراین نمی‌توان به طور قطعی نتیجه‌گیری کرد.
قبه الصخره یکی از تجلی گاه های زیبایی و ظرافت هنر اسلامی محسوب می شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.	قبه الصخره به فرمان عبدالملک بن مروان و برای برگزاری روز عرفه بنا گردید.	e	قبه الصخره یکی از تجلی‌گاه‌های زیبایی و ظرافت هنر اسلامی محسوب می‌شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.	قبه الصخره به فرمان عبدالملک بن مروان و برای برگزاری روز عرفه بنا گردید.	0	چون فرضیه به طور دقیق همان اطلاعات موجود در متن را بازگو می‌کند و هیچ گونه تضادی با آن ندارد، بنابراین نتیجه‌گیری صحیح است.
قبه الصخره یکی از تجلی گاه های زیبایی و ظرافت هنر اسلامی محسوب می شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.	مروان بن عبدالملک به مناسبت مراسم عید قربان، دستور به ساخت قبه الصخره داد.	c	قبه الصخره یکی از تجلی‌گاه‌های زیبایی و ظرافت هنر اسلامی محسوب می‌شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.	مروان بن عبدالملک به مناسبت مراسم عید قربان، دستور به ساخت قبه الصخره داد.	1	چون متن اشاره دارد که قبه الصخره به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شده است، در حالی که فرضیه به مناسبت مراسم عید قربان اشاره می‌کند که با اطلاعات متن تناقض دارد.
قبه الصخره یکی از تجلی گاه های زیبایی و ظرافت هنر اسلامی محسوب می شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.	قبه الصخره در بیت المقدس و برای برگزاری روز عرفه توسط عبدالملک بن مروان احداث شد.	n	قبه الصخره یکی از تجلی‌گاه‌های زیبایی و ظرافت هنر اسلامی محسوب می‌شود و به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شد.	قبه الصخره در بیت‌المقدس و برای برگزاری روز عرفه توسط عبدالملک بن مروان احداث شد.	2	چون متن به زیبایی و ظرافت هنر اسلامی اشاره دارد و همچنین می‌گوید که قبه الصخره به فرمان عبدالملک بن مروان برای برگزاری روز عرفه ساخته شده است، اما فرضیه فقط مکان و هدف ساخت را تأیید می‌کند و اطلاعات بیشتری ارائه نمی‌دهد.
در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.	نخستین آموزشگاه عصر نبوت، مسجد النبی است.	e	در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.	نخستین آموزشگاه عصر نبوت، مسجد النبی است.	0	چون فرضیه به وضوح بیان می‌کند که مسجد النبی نخستین آموزشگاه عصر نبوت است و این اطلاعات به طور مستقیم از متن استخراج شده است.
در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.	اولین آموزشگاه عصر نبوت، مسجد کوفه نام دارد.	c	در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.	اولین آموزشگاه عصر نبوت، مسجد کوفه نام دارد.	1	چون فرضیه بیان می‌کند که اولین آموزشگاه عصر نبوت، مسجد کوفه است در حالی که متن به وضوح اشاره دارد که مسجد النبی اولین آموزشگاه آن دوره بوده است.
در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.	حلقه‌های درسی امام صادق در مسجد النبی برپا می‌شد.	n	در دوران نبوت، مسجد النبی اولین آموزشگاه آن دوره بود.	حلقه‌های درسی امام صادق در مسجد النبی برپا می‌شد.	2	چون فرضیه به برگزاری حلقه‌های درسی امام صادق در مسجد النبی اشاره دارد، در حالی که متن فقط به آموزشگاه بودن مسجد النبی در دوران نبوت اشاره می‌کند و ارتباط مستقیمی بین این دو وجود ندارد.
رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.	یکی از مهمترین نتایج ورود اندیشه‌ها به عالم اسلام و سعی و تلاش معتزلیان، رواج علم کلام است.	e	رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه‌ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.	یکی از مهمترین نتایج ورود اندیشه‌ها به عالم اسلام و سعی و تلاش معتزلیان، رواج علم کلام است.	0	چون فرضیه به وضوح نتیجه‌ای را که در متن بیان شده است، بازگو می‌کند و ترتیب واژه‌ها تغییر کرده است، اما مفهوم اصلی حفظ شده است.
رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.	ورود اندیشه ها به جهان اسلام و تلاش معتزلیان، به چیزی جز رشد نهضت ترجمه منجر نشد.	c	رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه‌ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.	ورود اندیشه‌ها به جهان اسلام و تلاش معتزلیان، به چیزی جز رشد نهضت ترجمه منجر نشد.	1	چون فرضیه بیان می‌کند که ورود اندیشه‌ها و تلاش معتزلیان فقط به رشد نهضت ترجمه منجر شد، در حالی که متن به پیدایش علم کلام به عنوان یکی از نتایج مهم اشاره دارد که نشان‌دهنده تأثیرات بیشتری است.
رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.	یکی از مهم‌ترین پیامدهای نهضت ترجمه، رشد علم کلام در نتیجه نفوذ فلسفه یونان بود.	n	رواج و پیدایش علم کلام، از مهمترین نتایج ورود اندیشه‌ها به جهان اسلام و تلاش و مساعی معتزلیان و مناظرات آنان با مخالفان بود.	یکی از مهم‌ترین پیامدهای نهضت ترجمه، رشد علم کلام در نتیجه نفوذ فلسفه یونان بود.	2	چون فرضیه به تأثیر نهضت ترجمه و نفوذ فلسفه یونان بر رشد علم کلام اشاره دارد، در حالی که متن به رواج علم کلام به عنوان نتیجه ورود اندیشه‌ها و تلاش معتزلیان پرداخته است و ارتباط مستقیم بین این دو را مشخص نمی‌کند.
پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعریِ مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت «مناظره» و «سؤال و جواب» است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.	سبک شعری پروین اعتصامی بیشتر سبک مناظره است.	e	پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعری مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت «مناظره» و «سؤال و جواب» است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.	سبک شعری پروین اعتصامی بیشتر سبک مناظره است.	0	چون متن به وضوح اشاره دارد که پروین اعتصامی به دلیل به کار بردن سبک شعری مناظره معروف است و این سبک در شعرهای او غالب است.
پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعریِ مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت «مناظره» و «سؤال و جواب» است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.	پروین اعتصامی در اشعارش بیشتر از سبک هندی بهره برد.	c	پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعری مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت «مناظره» و «سؤال و جواب» است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.	پروین اعتصامی در اشعارش بیشتر از سبک هندی بهره برد.	1	چون متن به وضوح بیان می‌کند که پروین اعتصامی بیشتر به سبک مناظره در شعرهایش معروف است و هیچ اشاره‌ای به سبک هندی نمی‌کند، بنابراین فرضیه با متن در تضاد است.
پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعریِ مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت «مناظره» و «سؤال و جواب» است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.	در شعرهای پروین می‌توان ویژگی‌های بلیغ زبان را به وضوح یافت.	n	پروین اعتصامی بیشتر به دلیل به کار بردن سبک شعری مناظره در شعرهایش، معروف است. شعر پروین از دیدگاه طرز بیان مفاهیم و معانی، بیشتر به صورت «مناظره» و «سؤال و جواب» است. در دیوان او بیش از هفتاد نمونه مناظره آمده که وی را از این لحاظ در میان شاعران فارسی برجسته ساخته‌است.	در شعرهای پروین می‌توان ویژگی‌های بلیغ زبان را به وضوح یافت.	2	چون فرضیه به ویژگی‌های بلیغ زبان در شعرهای پروین اشاره دارد، اما متن اصلی بیشتر بر سبک مناظره و سؤال و جواب تأکید دارد و به طور خاص به بلیغ بودن زبان اشاره نمی‌کند، بنابراین ارتباط مستقیمی بین آن‌ها وجود ندارد.
زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان «روز بزرگداشت پروین اعتصامی» نام‌گذاری شده‌است.	۲۵ اسفند در تقویم ایرانی، روز بزرگداشت پروین اعتصامی می باشد.	e	زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان «روز بزرگداشت پروین اعتصامی» نام‌گذاری شده‌است.	۲۵ اسفند در تقویم ایرانی، روز بزرگداشت پروین اعتصامی می‌باشد.	0	چون متن به وضوح بیان می‌کند که زادروز پروین اعتصامی در ۲۵ اسفندماه به عنوان «روز بزرگداشت پروین اعتصامی» نام‌گذاری شده است، بنابراین فرضیه به درستی این اطلاعات را بازتاب می‌دهد.
زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان «روز بزرگداشت پروین اعتصامی» نام‌گذاری شده‌است.	در تقویم ایرانی، ۱۵ فروردین روز بزرگداشت پروین اعتصامی است.	c	زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان «روز بزرگداشت پروین اعتصامی» نام‌گذاری شده‌است.	در تقویم ایرانی، ۱۵ فروردین روز بزرگداشت پروین اعتصامی است.	1	چون در متن به تاریخ ۲۵ اسفندماه به عنوان روز بزرگداشت پروین اعتصامی اشاره شده است، در حالی که فرضیه تاریخ ۱۵ فروردین را ذکر می‌کند که با هم تناقض دارد.
زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان «روز بزرگداشت پروین اعتصامی» نام‌گذاری شده‌است.	تنها اثر چاپ و منتشر شده از پروین اعتصامی، دیوان اشعار اوست.	n	زادروز پروین اعتصامی (بیست و پنجم اسفندماه)، به عنوان «روز بزرگداشت پروین اعتصامی» نام‌گذاری شده‌است.	تنها اثر چاپ و منتشر شده از پروین اعتصامی، دیوان اشعار اوست.	2	چون فرضیه تنها به یک اثر پروین اعتصامی اشاره دارد در حالی که متن به بزرگداشت او و تاریخ زادروز او اشاره می‌کند و اطلاعات بیشتری درباره آثارش ارائه نمی‌دهد.
رخشندهٔ اعتصامی معروف به پروین اعتصامی (زادهٔ ۲۵ اسفند ۱۲۸۵ در تبریز – درگذشتهٔ ۱۵ فروردین ۱۳۲۰ در تهران) شاعر ایرانی است که به عنوان «مشهورترین شاعر زن ایران» از او یاد شده‌است.	پروین اعتصامی معروفترین شاعر زن ایران می باشد.	e	رخشنده اعتصامی معروف به پروین اعتصامی (زاده ۲۵ اسفند ۱۲۸۵ در تبریز – درگذشته ۱۵ فروردین ۱۳۲۰ در تهران) شاعر ایرانی است که به عنوان «مشهورترین شاعر زن ایران» از او یاد شده‌است.	پروین اعتصامی معروفترین شاعر زن ایران می‌باشد.	0	چون در متن به وضوح اشاره شده است که پروین اعتصامی به عنوان «مشهورترین شاعر زن ایران» شناخته می‌شود و فرضیه نیز همین مطلب را تکرار می‌کند.
رخشندهٔ اعتصامی معروف به پروین اعتصامی (زادهٔ ۲۵ اسفند ۱۲۸۵ در تبریز – درگذشتهٔ ۱۵ فروردین ۱۳۲۰ در تهران) شاعر ایرانی است که به عنوان «مشهورترین شاعر زن ایران» از او یاد شده‌است.	نام مشهورترین شاعر زن ایران، فروغ فرخزاد است.	c	رخشنده اعتصامی معروف به پروین اعتصامی (زاده ۲۵ اسفند ۱۲۸۵ در تبریز – درگذشته ۱۵ فروردین ۱۳۲۰ در تهران) شاعر ایرانی است که به عنوان «مشهورترین شاعر زن ایران» از او یاد شده‌است.	نام مشهورترین شاعر زن ایران، فروغ فرخزاد است.	1	چون فرضیه به نام شاعر زن مشهور ایران اشاره دارد و در متن به پروین اعتصامی به عنوان مشهورترین شاعر زن ایران اشاره شده است، بنابراین این دو با هم تناقض دارند.
رخشندهٔ اعتصامی معروف به پروین اعتصامی (زادهٔ ۲۵ اسفند ۱۲۸۵ در تبریز – درگذشتهٔ ۱۵ فروردین ۱۳۲۰ در تهران) شاعر ایرانی است که به عنوان «مشهورترین شاعر زن ایران» از او یاد شده‌است.	پروین از کودکی فارسی، انگلیسی و عربی را آموخت.	n	رخشنده اعتصامی معروف به پروین اعتصامی (زاده ۲۵ اسفند ۱۲۸۵ در تبریز – درگذشته ۱۵ فروردین ۱۳۲۰ در تهران) شاعر ایرانی است که به عنوان «مشهورترین شاعر زن ایران» از او یاد شده‌است.	پروین از کودکی فارسی، انگلیسی و عربی را آموخت.	2	چون در متن فقط به شهرت و تاریخ زندگی پروین اعتصامی اشاره شده و هیچ اطلاعاتی درباره زبان‌هایی که او آموخته است وجود ندارد، بنابراین فرضیه نمی‌تواند به طور قطعی از متن نتیجه‌گیری شود.
رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است.	"""مادر شعر پارسی"" لقب ""رابعه بلخی"" می باشد."	e	رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است.	«مادر شعر پارسی» لقب «رابعه بلخی» می‌باشد.	0	"چون در متن به صراحت اشاره شده که رابعه بلخی را ""مادر شعر پارسی"" خوانده‌اند، بنابراین فرضیه که این لقب به او تعلق دارد، به درستی از متن نتیجه‌گیری می‌شود."
رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است.	"""نورجهان"" ملقب به ""مادر شعر پارسی"" است."	c	رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است.	«نورجهان» ملقب به «مادر شعر پارسی» است.	1	چون در متن به رابعه بلخی به عنوان مادر شعر پارسی اشاره شده است و فرضیه نورجهان را به این عنوان نسبت می‌دهد، بنابراین این دو با هم تناقض دارند.
رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است.	عطار در کتابِ الهی‌نامه از رابعه سخن گفته است.	n	رابعه بلخی را مادر شعر پارسی خوانده‌اند. او بحور و اوزانی را وارد شعر پارسی نموده که تا پیش از آن کسی در آن اوزان شعر نمی‌سروده‌است.	عطار در کتاب الهی‌نامه از رابعه سخن گفته است.	2	چون اطلاعات موجود در متن درباره رابعه بلخی و تأثیر او بر شعر پارسی است، اما به هیچ وجه به عطار یا کتاب الهی‌نامه اشاره‌ای نمی‌کند، بنابراین ارتباط مستقیمی بین متن و فرضیه وجود ندارد.
اقبال لاهوری نخستین کسی بود که ایدهٔ یک کشور مستقل را برای مسلمانان هند مطرح کرد که در نهایت منجر به ایجاد کشور پاکستان شد.	کشور پاکستان به پیشنهاد اقبال لاهوری ایجاد شد.	e	اقبال لاهوری نخستین کسی بود که ایده یک کشور مستقل را برای مسلمانان هند مطرح کرد که در نهایت منجر به ایجاد کشور پاکستان شد.	کشور پاکستان به پیشنهاد اقبال لاهوری ایجاد شد.	0	چون اقبال لاهوری نخستین کسی بود که ایده یک کشور مستقل برای مسلمانان هند را مطرح کرد و این ایده به ایجاد کشور پاکستان منجر شد، بنابراین فرضیه به درستی نتیجه‌گیری می‌کند که کشور پاکستان به پیشنهاد او ایجاد شد.
اقبال لاهوری نخستین کسی بود که ایدهٔ یک کشور مستقل را برای مسلمانان هند مطرح کرد که در نهایت منجر به ایجاد کشور پاکستان شد.	بینظیر بوتو، پیشنهاد ایجاد کشور پاکستان را داد.	c	اقبال لاهوری نخستین کسی بود که ایده یک کشور مستقل را برای مسلمانان هند مطرح کرد که در نهایت منجر به ایجاد کشور پاکستان شد.	بینظیر بوتو، پیشنهاد ایجاد کشور پاکستان را داد.	1	چون اقبال لاهوری نخستین کسی بود که ایده ایجاد کشور پاکستان را مطرح کرد و بینظیر بوتو در این زمینه نقشی نداشت، بنابراین فرضیه با متن تناقض دارد.
